id;name;jhi_key;account_type;ordered_by;jhi_level;isleaf;balance_account_id;legal_entity_id;chart_of_accounts_id;upper_account_id
157936;Balance sheet statement / Income statement - CSSF (IAS39);0;TOP;1;0;false;157936;AAA;1;null
157939; Assets;1;ASSETS;2;1;false;157939;AAA;1;157936
157945;Cash and cash balances with central banks;1.01;ASSETS;3;2;false;157945;AAA;1;157939
158169;Cash and cash balances with central banks;1.01.01.01;ASSETS;4;8;true;158169;AAA;1;157945
158171;Cashier desk;1.01.01.02;ASSETS;5;8;true;158171;AAA;1;157945
158170;Cash and cash balances with central banks - accrued interests;1.01.01.81;ASSETS;6;8;true;158170;AAA;1;157945
157951;Financial assets held for trading ;1.02;ASSETS;7;2;false;157951;AAA;1;157939
158005;Derivatives held for trading ;1.02.01;ASSETS;8;3;false;158005;AAA;1;157951
158179;(Trading) Options/Cap/Floor/Collar/Swaption;1.02.01.01;ASSETS;9;8;true;158179;AAA;1;158005
158172;(Trading) IRS;1.02.01.02;ASSETS;10;8;true;158172;AAA;1;158005
158173;(Trading) CIRS;1.02.01.03;ASSETS;11;8;true;158173;AAA;1;158005
158174;(Trading) FRA;1.02.01.04;ASSETS;12;8;true;158174;AAA;1;158005
158175;(Trading) CDS;1.02.01.05;ASSETS;13;8;true;158175;AAA;1;158005
158176;(Trading) Outright;1.02.01.06;ASSETS;14;8;true;158176;AAA;1;158005
158177;(Trading) Currency swap;1.02.01.07;ASSETS;15;8;true;158177;AAA;1;158005
213316;(Trading) TRS;1.02.01.08;ASSETS;16;8;true;213316;AAA;1;158005
158178;(Trading) Other;1.02.01.99;ASSETS;17;8;true;158178;AAA;1;158005
158006;Equity instruments;1.02.02;ASSETS;18;3;false;158006;AAA;1;157951
158180;(Trading) Equity instruments;1.02.02.01;ASSETS;19;8;true;158180;AAA;1;158006
158007;Debt instruments;1.02.03;ASSETS;20;3;false;158007;AAA;1;157951
